Serial Number,Comment,Author
114,aarr mithapur ka nai dekhaa tum,@Gonda169
115,I request to all bihari  vote those candidate  they bring some development,@invisible9828
116,Your video always make us nostalgic,@vibkiotech5235
117,Thanks for the patna metro updates and amazing views from your drone shots😊,@RohitSingh-ku4hb
118,Baki development kha hai,@SangitaSingh-lh2bi
119,"Exceptional video,ghar baithay baithay hi vikas sheel Bihar ki tasveer dikha di apne,bahut saara aabhar aapko❤❤❤",@amanprakash7692
120,बहुत अच्छा लागा बिहार का विकास कार्य देख कर. आप के सभी विडिओ कि तरह यह भी विडिओ बहुत ही सुंदर 👌👌😊😊लगा 🎉🎉,@dipakvanikar6254
121,आपका वीडियो 100% परफेक्शन वाला होता है जबरदस्त,@nitishdivyansharti3495
122,Bihar ka transport mat boliye sirf Patna ka kah sakte hai,@swarajsaurabh
123,Ugliest city ever.....,@JitzyJT
124,Patna looks like some undeveloped African country..,@AkashSingh-nf5ey
125,wah bhai aapka tarika bahut shandar hai infra update dene ka..,@rnpandit604
126,Thanks so much 🙏,@premprabhakar805
127,Modi ji ne bhut acha kaam kr rhe hai ❤,@jitendratiwari6721
128,Patna mahanagar ka metro project ka update dene ke liye apka <br><br>Bahut shukriya bhaiya 🙏🙏,@nikhilaryanstudio7917
129,Hello brother apka to animation ke jariye Patna matro ka work in progress dikhaya maza aa gaya,@pravins4957
130,Awesome Drone view ❣️❣️❣️,@Mech.Engineering_Student
131,"हमारे राजस्थान के अशोक गहलोत जी ने अपने दम पर जयपुर मेट्रो 2012-2015 में लोंच कर दी थी, केंद्र सरकार का एक पैसा भी नहीं लगा था,  <br>अब दुसरे फेज में जरूर 20% पैसा केंद्र सरकार लगा है,",@चतुररामलिंगम-भ8ज
132,Rajgir cricket stadium update??,@RohitRaj-we5hs
133,भाई आप गुजरात आना बड़दा का video बनाने ❤,@kammugamar
134,Very nice 👍🙏,@rajnishkamboj6596
135,Correction-Rajendra nagar terminal  hai,@md.saadiqashraf762
136,Aap ka tahe dil se sukriya <br>Hamare bihar ko explore karne ke lia or yaha ke project ko desh duniya tak pahuchane ke lia,@localinfobyts
137,Rajgir ka stadium ka bhi update de dijiye 😊😊,@Vivekkumar-dc7xc
138,"Indian cities should adopt the Barcelona approach of keeping a central courtyard when constructing apartments. That way, there is a lot of space for pedestrian foot traffic and multi-use spaces. These small buildings in Tier 2 cities look very ugly.",@wassuphomies263
139,"People say Bihar is a very green ( plant, yrees) state but Patna looks like a new desert in rhe making. I see the same across the stupid Hindi belt. People are desertification every region by not planting and nurturing greenery.",@atokimruk937
140,Brother you missed 2 main stations &quot;Moinul Haq Station &amp; Patna University Station&quot;,@nomadicbihari5759
141,Nice ❤,@SrikantKumar-r8c
142,Jai hind sir,@anandaadhikary5462
143,Bhai..<br>Ghazipur <del>Ballia</del> Majhi ghat Greenfield expressway ki update do..,@Nikhil_Panday
144,Bhai shooting bahut hi Achcha hai Patna metro ka 😮❤❤❤,@amitbhagat1076
145,Good 🎉 welcome new Railway metro rail project,@kameswarYouTubeExpress
146,Patna looks like a big concrete jungle.,@prakhardubey2356
147,I live in bhootnath,@PAWANKUMAR-yh7rh
148,Thnks..❤,@PAWANKUMAR-yh7rh
149,AIIMS side nhi ayga kya metro 🚇😢,@street_shifter_shivam
150,Waiting for your next vedio on bihar,@sahil-E-11
151,Jai bihar❤,@defenceindiaseries9448
152,Surat metro,@ahirjenil6694
153,Delhi dehradun expressway ki update KB TK aayegi,@legalresearch2740
154,Ancient Bihar 🗿<br>Current Bihar 🤮,@Kp-pd2jc
155,Ballia link expressway ka update de,@pushpenderbharti2616
156,Nice work of you and your team,@kartikranjan8193
157,"<a href=""https://www.youtube.com/watch?v=TSZbuIqzi3w&amp;t=635"">10:35</a> Delhi Metro 😅 or Patna metro",@AkashKumarSingh-lt3vi
158,Osm,@AmitSingh-sv7wk
159,Patna metro work fast hona chahiye,@fahimshaikh8801
160,If possible go to Jharkhand as well. Project suggestions :-<br>1. 6 Laning of NH 18 which is part of golden quadrilateral and also includes viaduct like in Barhi.<br>2. Ormanjhi Gola Jainamore expressway which is also called Ranchi Bokaro expressway<br>3. Bridge on Ganga river in Sahebganj,@IntrovertBoyz
161,Bhai dhekna kahi bride piller na gir jaye apne aap corrupt politicians se..,@sandeep-Maurya.
